gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160191	76937.70537829745	3.0724266076640365	0.15522865906221345	19.792908256926008	3.4268548908231694e-87	7.847497699985058e-85
ENSG00000154734	22866.093923045362	3.442492316750179	0.17937394627653816	19.19170753729719	4.341379069031732e-82	4.970879034041333e-80
ENSG00000154723	7344.087241638918	2.5827570600108674	0.16388515756630115	15.759554424359575	5.904782447759164e-56	4.507317268456162e-54
ENSG00000180509	30232.335241434434	2.9441814524937335	0.20003046247534248	14.718665427555361	4.892199003393398e-49	2.80078392944272e-47
ENSG00000183145	9994.783487701456	2.891492834439432	0.2488477289253263	11.619526715902259	3.279479337480125e-31	1.5020015365658972e-29
ENSG00000276289	11795.820926315519	2.8605202502924074	0.4650271434729771	6.151297382189548	7.685166275291921e-10	2.9331717950697498e-8
ENSG00000277277	724.5075341639883	0.9286627561018165	0.26390499268747675	3.5189283334308246	4.3329373815776957e-4	0.014174895148304176
ENSG00000185437	2256.783134223333	0.5161319485419871	0.19114691941391831	2.7001844974772062	0.006930103291325467	0.1983742067141915
ENSG00000160188	1876.1442527663808	-0.5370073131165317	0.21916208584572186	-2.450274695298144	0.014274726681248578	0.3473471000116853
ENSG00000154719	1373.4139614319527	-0.5881600687365844	0.24220635116849792	-2.4283428815927857	0.015167995633698049	0.3473471000116853
ENSG00000157557	3474.1431724964164	-0.49033967919556315	0.21014626847813647	-2.3333256533488145	0.019631060028304077	0.3811043010284814
ENSG00000160207	885.4156184133244	0.6334879905645874	0.2743876663315436	2.308733475648069	0.02095837553522194	0.3811043010284814
ENSG00000177692	2181.3336410137313	0.459916649582492	0.20024932479897262	2.296720101524415	0.021634741979782785	0.3811043010284814
ENSG00000205929	1354.6104126058979	0.47340654710543684	0.23701300938186454	1.9973863390034672	0.045783230676192305	0.7047856418730237
ENSG00000186930	103.42136504684598	-1.1261379379097411	0.5647968034941714	-1.9938815711115523	0.04616499837596225	0.7047856418730237
ENSG00000184012	5522.948456552558	-0.39830096814192034	0.20806232362842653	-1.9143349030996906	0.055577377433441065	0.7954512145161252
ENSG00000183036	968.6111411527	-0.5296042628535481	0.281339723868325	-1.8824368474230038	0.05977672688815286	0.8052276739639415
ENSG00000141959	16886.028442780047	2.065506616869611	1.1133761501187496	1.8551741176145276	0.06357136643841914	0.8087690507998879
ENSG00000166265	1222.5626769562023	0.5315276469849411	0.3013031919210711	1.7640956393325542	0.07771587853042278	0.8657237622246318
ENSG00000187175	207.71949715646545	0.7791870190365903	0.44239119609553634	1.7613076976068966	0.07818633790663915	0.8657237622246318
ENSG00000159128	2810.131703810416	0.3468013812962249	0.19769331661989628	1.7542392794341033	0.07938951531317584	0.8657237622246318
ENSG00000244624	102.04372438755998	0.9859380095237731	0.5752464402876541	1.713940218440554	0.08653970568820414	0.8953051582387671
